Sequence,start_site,end_site,length,GC_content
1,4703,4995,293,62.1
2,1365,1872,508,68.3
3,2538,2843,306,58.8
4,4763,4980,218,72.5
5,4660,4919,260,73.1
6,1178,1463,286,53.8
7,4362,4997,636,74.1
8,4700,4996,297,74.7
9,3756,4998,1243,59.7
10,3756,4998,1243,59.7
11,4792,4994,203,77.3
12,3539,4385,847,68.1
13,4758,4994,237,64.6
14,3697,3976,280,61.1
15,846,1115,270,60.4
